words,2019/11/1,2019/10/1,2019/9/1,2019/8/1,2019/7/1,2019/6/1,2019/5/1,2019/4/1,2019/3/1,2019/2/1,2019/1/1,2018/12/1,2018/11/1,2018/10/1,2018/9/1,2018/8/1,2018/7/1,2018/6/1,2018/5/1,2018/4/1,2018/3/1,2018/2/1,2018/1/1,2017/12/1,2017/11/1,2017/10/1,2017/9/1,2017/8/1,2017/7/1,2017/6/1,2017/5/1,2017/4/1,2017/3/1,2017/2/1,2017/1/1,2016/12/1,2016/11/1,2016/10/1,2016/9/1,2016/8/1,2016/7/1,2016/6/1,2016/5/1,2016/4/1,2016/3/1,2016/2/1,2016/1/1,2015/12/1,2015/11/1,2015/10/1,2015/9/1,2015/8/1,2015/7/1,2015/6/1,2015/5/1,2015/4/1,2015/3/1,2015/2/1,2015/1/1,2014/12/1,2014/11/1,2014/10/1,2014/9/1,2014/8/1,2014/7/1,2014/6/1,2014/5/1,2014/4/1,2014/3/1,2014/2/1,2014/1/1,2013/12/1,2013/11/1,2013/10/1,2013/9/1,2013/8/1,2013/7/1,2013/6/1,2013/5/1,2013/4/1,2013/3/1,2013/2/1,2013/1/1,2012/12/1,2012/11/1,2012/10/1,2012/9/1,2012/8/1,2012/7/1,2012/6/1,2012/5/1,2012/4/1,2012/3/1,2012/2/1,2012/1/1,2011/12/1,2011/11/1,2011/10/1,2011/9/1,2011/8/1,2011/7/1,2011/6/1,2011/5/1,2011/4/1,2011/3/1,2011/2/1,2011/1/1,2010/12/1,2010/11/1,2010/10/1,2010/9/1,2010/8/1,2010/7/1,2010/6/1,2010/5/1,2010/4/1,2010/3/1,2010/2/1,2010/1/1,2009/12/1,2009/11/1,2009/10/1,2009/9/1,2009/8/1,2009/7/1,2009/6/1,2009/5/1,2009/4/1,2009/3/1,2009/2/1,2009/1/1,2008/12/1,2008/11/1,2008/10/1,2008/9/1,2008/8/1,2008/7/1,2008/6/1,2008/5/1,2008/4/1,2008/3/1,2008/2/1,2008/1/1,2007/12/1,2007/11/1,2007/10/1,2007/9/1,2007/8/1,2007/7/1,2007/6/1,2007/5/1,2007/4/1,2007/3/1,2007/2/1,2007/1/1
"('improve',)",3.88048,7.77001,2.7137,0,2.88268,0,2.73075,0,2.75862,0,2.72702,0,5.46448,8.17661,2.67023,5.62272,0,3.00481,2.88434,0,8.67553,2.85714,3.01023,0,3.08928,6.29525,0,6.37959,6.26566,0,3.24149,6.27353,9.68367,0,3.43761,0,0,0,0,7.98085,0,0,0,0,4.98753,0,0,0,0,5.11247,9.56023,0,0,5.10204,0,0,0,4.84262,5.02765,0,0,0,0,5.32765,5.15996,5.16796,5.17331,0,0,4.91642,0,5.04541,0,4.68604,0,4.995,9.80392,5.34474,5.08906,4.80077,0,0,5.11247,0,6.03865,5.72738,0,0,0,6.11995,0,0,0,16.46542,12.29256,0,0,11.77856,0,0,5.95593,18.29268,0,0,0,11.25492,12.36858,0,6.01323,6.38978,13.22751,6.06061,19.56947,5.96659,0,0,0,6.10501,0,6.10501,6.0423,0,5.93824,7.31529,7.11744,0,0,6.2422,0,0,0,6.21504,0,0,0,0,7.16846,0,0,0,0,0,0,0,0,0,0,6.84463,0,0,0,0,0,0,6.09013
"('law',)",3.88048,15.54002,2.7137,5.47945,0,5.33049,2.73075,2.78552,2.75862,2.65816,5.45405,2.81057,0,0,2.67023,2.81136,2.82566,6.00962,11.53735,0,2.89184,0,12.04094,3.05998,3.08928,3.14762,3.09693,6.37959,6.26566,0,0,0,6.45578,3.25839,3.43761,0,0,0,0,0,0,4.30293,4.39947,4.914,0,0,0,0,0,0,0,0,0,5.10204,5.10725,9.86193,0,4.84262,5.02765,0,0,0,0,5.32765,0,0,20.69322,0,5.02008,9.83284,0,5.04541,5.35619,4.68604,4.91159,14.98501,14.70588,0,5.08906,0,0,5.04032,0,0,0,0,0,0,0,0,0,0,6.10128,0,0,0,0,5.88928,0,0,0,0,0,6.25,0,5.62746,6.18429,6.10128,0,12.77955,0,0,6.52316,0,0,0,5.94884,0,0,0,0,0,0,0,0,0,6.33312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('try',)",7.76096,15.54002,2.7137,16.43836,5.76535,18.65672,8.19224,2.78552,8.27586,2.65816,8.18107,14.05284,13.6612,10.90215,13.35113,5.62272,8.47697,9.01442,17.30603,8.62565,5.78369,2.85714,3.01023,9.17993,6.17856,3.14762,6.19387,15.94896,9.3985,9.49367,22.69044,12.54705,6.45578,3.25839,0,10.07388,6.97593,10.51893,0,3.99042,4.06669,4.30293,8.79894,24.57002,4.98753,4.68384,4.8852,14.36094,14.91795,5.11247,4.78011,0,10.03512,5.10204,0,0,9.75134,4.84262,5.02765,5.08388,0,10.40042,14.14427,10.6553,15.47988,0,0,10.15228,5.02008,4.91642,0,5.04541,5.35619,18.74414,9.82318,4.995,4.90196,21.37894,5.08906,4.80077,4.93827,15.12097,10.22495,5.07099,6.03865,5.72738,0,5.8072,0,0,5.62114,5.97015,6.10128,5.48847,0,0,5.44662,11.77856,0,5.81395,0,6.09756,25.22068,6.25,0,0,0,0,12.02646,12.77955,19.84127,12.12121,0,17.89976,6.77048,7.19942,0,0,0,6.10501,0,7.02741,17.81473,0,14.23488,6.59196,6.33312,6.2422,6.44745,0,7.30994,0,12.32286,0,6.49773,0,0,7.07214,0,0,13.64256,7.16332,7.07714,16.86341,0,0,0,0,0,6.65779,6.32111,0,6.31712,6.73401,6.09013
"('new',)",120.29492,58.27506,86.83853,60.27397,66.30153,77.29211,57.34571,100.27855,60.68966,66.45401,70.90265,73.07476,68.30601,84.49169,66.75567,89.96345,67.81577,84.13462,83.6458,60.37953,63.62059,60,87.29681,67.31946,71.05344,50.36198,80.52028,51.03668,68.92231,69.62025,81.03728,59.59849,58.102,61.90942,82.50258,70.51713,62.7834,63.1136,56.64653,75.81804,52.86702,43.02926,52.79366,88.45209,49.87531,84.30913,83.04836,76.59167,89.50771,51.12474,81.26195,69.37562,75.26342,81.63265,45.96527,64.10256,82.8864,92.00969,125.6913,81.34215,121.59533,98.80395,99.0099,90.57006,77.39938,77.51938,46.55975,121.82741,40.16064,63.91347,83.33333,60.5449,74.98661,70.29053,63.85069,74.92507,68.62745,48.10262,91.60305,43.20691,118.51852,85.68548,76.68712,60.85193,102.657,68.72852,84.13462,29.036,57.80347,55.07956,44.96908,53.73134,48.81025,93.30406,92.19422,44.49388,76.25272,41.22497,48.86988,34.88372,35.73556,48.78049,37.83102,43.75,48.91304,67.52954,74.2115,61.01281,54.11906,102.23642,79.36508,60.60606,52.18526,35.79952,47.39336,64.79482,77.33492,54.94505,62.93706,91.57509,90.63444,70.27407,71.25891,43.89173,28.46975,59.32762,63.33122,43.69538,64.47453,31.84713,87.7193,37.29024,36.96858,28.32861,38.98635,27.60524,35.84229,49.50495,48.14305,63.15789,47.74898,35.81662,35.3857,0,72.87449,77.62879,60.69803,82.13552,49.50495,46.60453,44.24779,59.32762,44.21984,53.87205,48.72107
"('eu',)",7.76096,19.42502,5.42741,2.73973,5.76535,5.33049,8.19224,11.14206,13.7931,5.31632,0,5.62114,8.19672,2.72554,0,2.81136,16.95394,3.00481,5.76868,5.75043,2.89184,0,6.02047,6.11995,3.08928,3.14762,12.38774,9.56938,6.26566,6.32911,9.72447,3.13676,16.13944,6.51678,13.75043,3.35796,10.4639,7.01262,11.32931,11.97127,28.46686,17.2117,8.79894,9.82801,0,0,4.8852,9.57396,9.9453,10.22495,4.78011,0,15.05268,0,10.2145,0,4.87567,0,10.0553,5.08388,0,0,0,0,10.31992,0,5.17331,15.22843,10.04016,4.91642,0,5.04541,0,14.05811,9.82318,4.995,9.80392,10.68947,20.35623,14.4023,0,20.16129,10.22495,0,0,17.18213,0,0,5.78035,48.95961,16.86341,5.97015,0,10.97695,12.29256,122.35818,16.33987,23.55713,18.32621,0,17.86778,0,6.30517,0,5.43478,0,0,12.20256,0,0,6.61376,0,19.56947,5.96659,27.08192,0,11.89768,12.21001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59196,0,0,0
"('lawmakers',)",15.52192,7.77001,2.7137,2.73973,11.5307,2.66525,2.73075,2.78552,8.27586,10.63264,5.45405,8.4317,2.73224,0,5.34045,0,2.82566,0,0,5.75043,2.89184,2.85714,6.02047,0,0,0,0,0,6.26566,6.32911,3.24149,3.13676,0,3.25839,6.87521,0,0,0,0,3.99042,0,8.60585,0,0,0,0,0,0,4.97265,0,0,0,0,0,0,0,0,4.84262,0,0,0,0,0,5.32765,0,10.33592,0,5.07614,0,0,0,0,0,4.68604,0,0,0,0,0,0,0,0,0,5.07099,0,0,12.01923,0,5.78035,0,0,0,0,0,0,0,0,0,0,0,5.95593,6.09756,0,0,0,0,0,0,0,0,0,0,0,5.96659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('time',)",34.92433,27.19503,5.42741,19.17808,17.29605,31.98294,16.38449,5.57103,30.34483,18.60712,27.27025,14.05284,16.39344,24.52984,16.02136,30.92494,19.7796,21.03365,23.0747,23.00173,23.13476,22.85714,9.0307,27.53978,18.53568,34.62386,24.77547,19.13876,28.19549,22.1519,16.20746,28.23087,22.59522,13.03356,17.18804,10.07388,27.90373,42.07574,15.10574,11.97127,24.40016,30.12048,21.99736,4.914,24.93766,32.78689,19.54079,62.23073,14.91795,0,38.24092,39.64321,10.03512,30.61224,20.42901,14.7929,48.7567,29.05569,10.0553,25.41942,9.72763,26.00104,37.71806,58.60416,25.79979,41.34367,10.34661,5.07614,10.04016,9.83284,24.5098,15.13623,0,9.37207,24.55796,24.97502,4.90196,21.37894,20.35623,43.20691,19.75309,30.24194,46.01227,30.42596,30.19324,40.09164,18.02885,23.2288,40.46243,0,11.24227,29.85075,18.30384,38.41932,36.87769,44.49388,16.33987,29.44641,30.54368,40.69767,23.8237,12.19512,37.83102,25,5.43478,0,18.55288,24.40513,42.0926,19.16933,6.61376,36.36364,6.52316,23.86635,27.08192,21.59827,17.84652,18.31502,13.98601,18.31502,12.08459,7.02741,0,29.26116,28.46975,19.77587,12.66624,24.96879,32.23727,31.84713,51.16959,49.72032,24.64572,42.49292,32.48863,41.40787,7.16846,21.21641,13.75516,28.07018,6.82128,0,14.15428,25.29511,16.19433,21.17149,37.93627,61.60164,99.0099,59.92011,63.21113,72.51154,75.80543,13.46801,12.18027
"('take',)",50.44626,34.96503,27.13704,19.17808,31.70943,34.64819,16.38449,52.92479,33.10345,47.84689,46.35942,19.67397,24.59016,27.25538,24.03204,59.03852,39.5592,27.04327,25.95904,23.00173,43.37767,17.14286,24.08188,36.71971,46.3392,25.18099,34.06627,28.70813,34.46115,53.79747,35.6564,25.0941,12.91156,35.84229,34.37607,40.2955,24.41577,52.59467,30.21148,31.92338,32.53355,25.81756,30.7963,44.22604,24.93766,23.4192,14.65559,19.14792,29.8359,35.78732,62.14149,14.8662,45.15805,35.71429,51.07252,19.72387,43.88103,38.74092,40.22122,61.00661,24.31907,46.80187,33.0033,63.93181,51.59959,20.67183,31.03983,35.53299,30.12048,9.83284,19.60784,45.40868,26.78093,4.68604,29.46955,14.98501,24.5098,32.06841,25.44529,24.00384,24.69136,55.44355,40.8998,35.49696,12.07729,17.18213,36.05769,29.036,17.34104,36.71971,28.10568,41.79104,12.20256,43.90779,30.73141,22.24694,5.44662,17.66784,30.54368,29.06977,17.86778,36.58537,25.22068,25,10.86957,5.62746,6.18429,30.50641,12.02646,38.33866,19.84127,18.18182,19.56947,35.79952,27.08192,28.7977,41.64188,42.73504,20.97902,48.84005,24.16918,56.21926,17.81473,29.26116,14.23488,19.77587,50.66498,37.45318,32.23727,44.58599,29.23977,12.43008,36.96858,21.24646,19.49318,6.90131,21.50538,14.14427,6.87758,21.05263,27.28513,50.14327,42.46285,8.4317,24.2915,21.17149,30.34901,20.53388,35.36068,26.63116,31.60556,19.77587,18.95136,33.67003,6.09013
"('profit',)",11.64144,11.65501,0,2.73973,11.5307,2.66525,5.4615,5.57103,11.03448,7.97448,2.72702,0,5.46448,13.62769,10.68091,8.43407,5.65131,0,8.65301,5.75043,5.78369,8.57143,6.02047,15.29988,15.4464,0,0,9.56938,6.26566,0,12.96596,6.27353,3.22789,9.77517,10.31282,3.35796,10.4639,21.03787,3.77644,23.94254,16.26678,8.60585,8.79894,9.82801,19.95012,32.78689,9.7704,4.78698,24.86325,10.22495,9.56023,29.73241,15.05268,5.10204,15.32176,19.72387,19.50268,33.89831,40.22122,5.08388,14.59144,20.80083,9.42951,21.3106,5.15996,10.33592,25.86653,5.07614,0,9.83284,39.21569,5.04541,21.42475,23.43018,4.91159,14.98501,53.92157,0,30.53435,28.80461,4.93827,5.04032,30.67485,15.21298,6.03865,11.45475,12.01923,0,28.90173,6.11995,16.86341,23.8806,18.30384,5.48847,24.58513,0,0,0,0,17.44186,17.86778,6.09756,25.22068,12.5,0,16.88239,6.18429,6.10128,18.03969,25.55911,13.22751,36.36364,26.09263,5.96659,0,21.59827,11.89768,12.21001,6.99301,24.42002,24.16918,35.13703,11.87648,14.63058,35.58719,6.59196,18.99937,6.2422,12.89491,6.36943,14.61988,6.21504,6.16143,7.08215,19.49318,27.60524,7.16846,21.21641,13.75516,35.08772,13.64256,28.6533,70.77141,16.86341,40.48583,28.22865,22.76176,27.37851,56.57709,13.31558,63.21113,85.69545,50.53696,188.55219,194.88429
"('two',)",11.64144,27.19503,16.28223,10.9589,8.64803,10.66098,8.19224,8.35655,13.7931,18.60712,19.08917,5.62114,10.92896,13.62769,8.01068,5.62272,8.47697,18.02885,5.76868,28.75216,5.78369,25.71429,3.01023,12.2399,12.35712,9.44287,6.19387,12.75917,25.06266,9.49367,9.72447,9.41029,0,3.25839,6.87521,3.35796,20.9278,17.53156,15.10574,7.98085,8.13339,4.30293,8.79894,4.914,9.97506,9.36768,9.7704,0,0,10.22495,4.78011,4.9554,5.01756,0,5.10725,4.93097,14.62701,0,10.0553,0,4.86381,15.60062,14.14427,10.6553,5.15996,5.16796,5.17331,5.07614,10.04016,9.83284,4.90196,0,5.35619,9.37207,4.91159,0,4.90196,5.34474,0,14.4023,4.93827,0,10.22495,5.07099,0,0,6.00962,0,11.56069,12.2399,16.86341,11.9403,12.20256,0,12.29256,0,16.33987,5.88928,0,0,5.95593,6.09756,6.30517,12.5,0,11.25492,6.18429,12.20256,0,19.16933,6.61376,12.12121,13.04631,5.96659,0,21.59827,11.89768,18.31502,13.98601,18.31502,6.0423,14.05481,0,14.63058,7.11744,19.77587,0,12.48439,19.34236,6.36943,7.30994,18.64512,6.16143,0,0,6.90131,7.16846,14.14427,0,7.01754,6.82128,14.32665,0,0,0,7.05716,15.17451,0,7.07214,6.65779,31.60556,6.59196,6.31712,0,24.36054
